Key,Name,ballotpedia_id,Party,District,Status,Date Declared,Retiring,Seeking other Office,Running Senate,Cooke,Inside,Sabato
0,Ashkan Nazarian,https://ballotpedia.org/Ashkan_Nazarian,Republican,U.S. House California District 1,Candidacy Declared,"Aug 21, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
1,Joanna Warrens,https://ballotpedia.org/Joanna_Warrens,Democratic,U.S. House California District 1,Candidacy Declared,"Oct 16, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
2,Doug LaMalfa,https://ballotpedia.org/Doug_LaMalfa,Republican,U.S. House California District 1,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
3,Jeffrey Lavin,https://ballotpedia.org/Jeffrey_Lavin,Libertarian,U.S. House California District 1,Candidacy Declared,"Apr 21, 2021",No,No,No,Solid Republican,Solid Republican,Safe Republican
4,Rose Penelope Yee,https://ballotpedia.org/Rose_Penelope_Yee,Democratic,U.S. House California District 1,Candidacy Declared,"Oct 11, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
5,Trenten Phillips,https://ballotpedia.org/Trenten_Phillips,Independent,U.S. House California District 1,Candidacy Declared,"Nov 28, 2022",No,No,No,Solid Republican,Solid Republican,Safe Republican
6,Aaron Webster,https://ballotpedia.org/Aaron_Webster,Democratic,U.S. House California District 1,Candidacy Declared,"Dec 5, 2022",No,No,No,Solid Republican,Solid Republican,Safe Republican
7,Albert Vitela,https://ballotpedia.org/Albert_Vitela,Democratic,U.S. House California District 1,Candidacy Declared,"Jul 3, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
8,John Kelly,https://ballotpedia.org/John_Kelly_(California_congressional_candidate),Republican,U.S. House California District 1,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
9,Dominick Dorothy,https://ballotpedia.org/Dominick_Dorothy,Democratic,U.S. House California District 1,Candidacy Declared,"Oct 16, 2023",No,No,No,Solid Republican,Solid Republican,Safe Republican
10,Tief Gibbs Jensen,https://ballotpedia.org/Tief_Gibbs_Jensen,Republican,U.S. House California District 2,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
11,Chris Coulombe,https://ballotpedia.org/Chris_Coulombe,Republican,U.S. House California District 2,Candidacy Declared,"Sep 7, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
12,Jared Huffman,https://ballotpedia.org/Jared_Huffman,Democratic,U.S. House California District 2,Candidacy Declared,"Jul 14, 2023",No,No,No,Solid Democratic,Solid Democratic,Safe Democratic
13,Kevin Kiley,https://ballotpedia.org/Kevin_Kiley,Republican,U.S. House California District 3,Candidacy Declared,"Jul 14, 2023",No,No,No,Likely Republican,Likely Republican,Likely Republican
14,Jessica Morse,https://ballotpedia.org/Jessica_Morse,Democratic,U.S. House California District 3,Candidacy Declared,"Sep 14, 2023",No,No,No,Likely Republican,Likely Republican,Likely Republican
15,Douglas Huhn,https://ballotpedia.org/Douglas_Huhn,Democratic,U.S. House California District 3,Candidacy Declared,"Aug 17, 2023",No,No,No,Likely Republican,Likely Republican,Likely Republican
