Key,Name,ballotpedia_id,State,Retiring,Seeking other Office,Cooke,Inside,Sabato
0,Kyrsten Sinema,https://ballotpedia.org/Kyrsten_Sinema,Arizona,No,No,Toss-up,Toss-up,Toss-up
1,Ruben Gallego,https://ballotpedia.org/Ruben_Gallego,Arizona,No,No,Toss-up,Toss-up,Toss-up
2,Alexander Keller,https://ballotpedia.org/Alexander_Keller,Arizona,No,No,Toss-up,Toss-up,Toss-up
3,Christopher Berschauer,https://ballotpedia.org/Christopher_Berschauer,Arizona,No,No,Toss-up,Toss-up,Toss-up
4,Kari Lake,https://ballotpedia.org/Kari_Lake,Arizona,No,No,Toss-up,Toss-up,Toss-up
5,Mark Lamb,https://ballotpedia.org/Mark_Lamb,Arizona,No,No,Toss-up,Toss-up,Toss-up
6,Robert Walker,https://ballotpedia.org/Robert_Walker,Arizona,No,No,Toss-up,Toss-up,Toss-up
7,Alan White,https://ballotpedia.org/Alan_White,Arizona,No,No,Toss-up,Toss-up,Toss-up
8,Brian Wright,https://ballotpedia.org/Brian_Wright,Arizona,No,No,Toss-up,Toss-up,Toss-up
9,Richard Grayson,https://ballotpedia.org/Richard_Grayson,Arizona,No,No,Toss-up,Toss-up,Toss-up
10,Dianne Feinstein,https://ballotpedia.org/Dianne_Feinstein,California,No,No,Solid Democratic,Solid Democratic,Safe Democratic
11,Dominick Dorothy,https://ballotpedia.org/Dominick_Dorothy,California,No,No,Solid Democratic,Solid Democratic,Safe Democratic
12,Jacob Farmos,https://ballotpedia.org/Jacob_Farmos,California,No,No,Solid Democratic,Solid Democratic,Safe Democratic
13,Jeremy Fennell,https://ballotpedia.org/Jeremy_Fennell,California,No,No,Solid Democratic,Solid Democratic,Safe Democratic
14,Carson Franklin,https://ballotpedia.org/Carson_Franklin,California,No,No,Solid Democratic,Solid Democratic,Safe Democratic
15,Zafar Inam,https://ballotpedia.org/Zafar_Inam,California,No,No,Solid Democratic,Solid Democratic,Safe Democratic
16,Barbara Lee,https://ballotpedia.org/Barbara_Lee,California,No,No,Solid Democratic,Solid Democratic,Safe Democratic
